"step","_step","_step__MIN","_step__MAX","all_time_value","all_time_value__MIN","all_time_value__MAX"
"0","0","0","0","9.347833633422852","9.347833633422852","9.347833633422852"
"1","2","2","2","5.962565898895264","5.962565898895264","5.962565898895264"
"2","4","4","4","6.066507816314697","6.066507816314697","6.066507816314697"
"3","6","6","6","5.904331207275391","5.904331207275391","5.904331207275391"
"4","8","8","8","5.810558795928955","5.810558795928955","5.810558795928955"
"5","10","10","10","5.884006977081299","5.884006977081299","5.884006977081299"
"6","12","12","12","5.801755905151367","5.801755905151367","5.801755905151367"
"7","14","14","14","5.808485984802246","5.808485984802246","5.808485984802246"
"8","16","16","16","5.9170427322387695","5.9170427322387695","5.9170427322387695"
"9","18","18","18","5.871140003204346","5.871140003204346","5.871140003204346"
"10","20","20","20","5.895499229431152","5.895499229431152","5.895499229431152"
"11","22","22","22","6.1527886390686035","6.1527886390686035","6.1527886390686035"
"12","24","24","24","5.9945759773254395","5.9945759773254395","5.9945759773254395"
"13","26","26","26","5.91595458984375","5.91595458984375","5.91595458984375"
"14","28","28","28","6.013924598693848","6.013924598693848","6.013924598693848"
"15","30","30","30","5.843085289001465","5.843085289001465","5.843085289001465"
"16","32","32","32","6.0883965492248535","6.0883965492248535","6.0883965492248535"
"17","34","34","34","5.816017150878906","5.816017150878906","5.816017150878906"
"18","36","36","36","5.859132766723633","5.859132766723633","5.859132766723633"
"19","38","38","38","6.090206146240234","6.090206146240234","6.090206146240234"
"20","40","40","40","5.870348930358887","5.870348930358887","5.870348930358887"
"21","42","42","42","5.983316898345947","5.983316898345947","5.983316898345947"
"22","44","44","44","6.094460487365723","6.094460487365723","6.094460487365723"
"23","46","46","46","5.973421096801758","5.973421096801758","5.973421096801758"
"24","48","48","48","5.919332504272461","5.919332504272461","5.919332504272461"
"25","50","50","50","6.017235279083252","6.017235279083252","6.017235279083252"
"26","52","52","52","6.0730695724487305","6.0730695724487305","6.0730695724487305"
