"step","_step","_step__MIN","_step__MAX","q_time_value","q_time_value__MIN","q_time_value__MAX"
"0","0","0","0","7.336324691772461","7.336324691772461","7.336324691772461"
"1","2","2","2","5.866672515869141","5.866672515869141","5.866672515869141"
"2","4","4","4","5.927216053009033","5.927216053009033","5.927216053009033"
"3","6","6","6","5.803919315338135","5.803919315338135","5.803919315338135"
"4","8","8","8","5.709434986114502","5.709434986114502","5.709434986114502"
"5","10","10","10","5.783804416656494","5.783804416656494","5.783804416656494"
"6","12","12","12","5.70030403137207","5.70030403137207","5.70030403137207"
"7","14","14","14","5.705512523651123","5.705512523651123","5.705512523651123"
"8","16","16","16","5.814086437225342","5.814086437225342","5.814086437225342"
"9","18","18","18","5.767788887023926","5.767788887023926","5.767788887023926"
"10","20","20","20","5.791843414306641","5.791843414306641","5.791843414306641"
"11","22","22","22","6.03720235824585","6.03720235824585","6.03720235824585"
"12","24","24","24","5.891319274902344","5.891319274902344","5.891319274902344"
"13","26","26","26","5.811726093292236","5.811726093292236","5.811726093292236"
"14","28","28","28","5.910951137542725","5.910951137542725","5.910951137542725"
"15","30","30","30","5.7390360832214355","5.7390360832214355","5.7390360832214355"
"16","32","32","32","5.985871315002441","5.985871315002441","5.985871315002441"
"17","34","34","34","5.711209774017334","5.711209774017334","5.711209774017334"
"18","36","36","36","5.755060195922852","5.755060195922852","5.755060195922852"
"19","38","38","38","5.984463691711426","5.984463691711426","5.984463691711426"
"20","40","40","40","5.767392635345459","5.767392635345459","5.767392635345459"
"21","42","42","42","5.879034042358398","5.879034042358398","5.879034042358398"
"22","44","44","44","5.98112678527832","5.98112678527832","5.98112678527832"
"23","46","46","46","5.871677398681641","5.871677398681641","5.871677398681641"
"24","48","48","48","5.816656589508057","5.816656589508057","5.816656589508057"
"25","50","50","50","5.911876201629639","5.911876201629639","5.911876201629639"
"26","52","52","52","5.968829154968262","5.968829154968262","5.968829154968262"
"27","54","54","54","5.813135147094727","5.813135147094727","5.813135147094727"
"28","56","56","56","5.841632843017578","5.841632843017578","5.841632843017578"
"29","58","58","58","5.942527770996094","5.942527770996094","5.942527770996094"
"30","60","60","60","5.857234954833984","5.857234954833984","5.857234954833984"
"31","62","62","62","5.841128349304199","5.841128349304199","5.841128349304199"
"32","64","64","64","5.92976188659668","5.92976188659668","5.92976188659668"
"33","66","66","66","5.883289813995361","5.883289813995361","5.883289813995361"
"34","68","68","68","5.826531887054443","5.826531887054443","5.826531887054443"
"35","70","70","70","5.85527229309082","5.85527229309082","5.85527229309082"
"36","72","72","72","5.76379919052124","5.76379919052124","5.76379919052124"
"37","74","74","74","6.000094413757324","6.000094413757324","6.000094413757324"
"38","76","76","76","5.766500949859619","5.766500949859619","5.766500949859619"
"39","78","78","78","5.824544906616211","5.824544906616211","5.824544906616211"
"40","80","80","80","6.001245498657227","6.001245498657227","6.001245498657227"
"41","82","82","82","5.784878253936768","5.784878253936768","5.784878253936768"
"42","84","84","84","5.936112880706787","5.936112880706787","5.936112880706787"
"43","86","86","86","5.911706924438477","5.911706924438477","5.911706924438477"
"44","88","88","88","5.834279537200928","5.834279537200928","5.834279537200928"
"45","90","90","90","5.755285263061523","5.755285263061523","5.755285263061523"
"46","92","92","92","6.006226062774658","6.006226062774658","6.006226062774658"
"47","94","94","94","5.738012790679932","5.738012790679932","5.738012790679932"
"48","96","96","96","5.790006637573242","5.790006637573242","5.790006637573242"
"49","98","98","98","5.985204696655273","5.985204696655273","5.985204696655273"
"50","100","100","100","5.801945686340332","5.801945686340332","5.801945686340332"
"51","102","102","102","5.878017425537109","5.878017425537109","5.878017425537109"
"52","104","104","104","5.858802318572998","5.858802318572998","5.858802318572998"
"53","106","106","106","5.930477142333984","5.930477142333984","5.930477142333984"
"54","108","108","108","6.06783390045166","6.06783390045166","6.06783390045166"
"55","110","110","110","5.804250717163086","5.804250717163086","5.804250717163086"
"56","112","112","112","5.813209533691406","5.813209533691406","5.813209533691406"
"57","114","114","114","5.921653747558594","5.921653747558594","5.921653747558594"
"58","116","116","116","5.994455814361572","5.994455814361572","5.994455814361572"
"59","118","118","118","5.80396842956543","5.80396842956543","5.80396842956543"
"60","120","120","120","5.938979148864746","5.938979148864746","5.938979148864746"
"61","122","122","122","5.821178913116455","5.821178913116455","5.821178913116455"
"62","124","124","124","5.770561695098877","5.770561695098877","5.770561695098877"
"63","126","126","126","6.061712741851807","6.061712741851807","6.061712741851807"
"64","128","128","128","5.852104663848877","5.852104663848877","5.852104663848877"
"65","130","130","130","5.801816463470459","5.801816463470459","5.801816463470459"
"66","132","132","132","6.012517929077148","6.012517929077148","6.012517929077148"
"67","134","134","134","5.8600993156433105","5.8600993156433105","5.8600993156433105"
"68","136","136","136","5.8919501304626465","5.8919501304626465","5.8919501304626465"
"69","138","138","138","5.967138767242432","5.967138767242432","5.967138767242432"
"70","140","140","140","5.789845943450928","5.789845943450928","5.789845943450928"
"71","142","142","142","5.882021903991699","5.882021903991699","5.882021903991699"
"72","144","144","144","6.020018100738525","6.020018100738525","6.020018100738525"
"73","146","146","146","5.861064910888672","5.861064910888672","5.861064910888672"
"74","148","148","148","6.051039218902588","6.051039218902588","6.051039218902588"
"75","150","150","150","5.856902122497559","5.856902122497559","5.856902122497559"
"76","152","152","152","5.879078388214111","5.879078388214111","5.879078388214111"
"77","154","154","154","5.954672813415527","5.954672813415527","5.954672813415527"
"78","156","156","156","5.891884803771973","5.891884803771973","5.891884803771973"
"79","158","158","158","5.814250946044922","5.814250946044922","5.814250946044922"
"80","160","160","160","5.9640703201293945","5.9640703201293945","5.9640703201293945"
"81","162","162","162","5.811655521392822","5.811655521392822","5.811655521392822"
"82","164","164","164","5.898446559906006","5.898446559906006","5.898446559906006"
"83","166","166","166","5.975349426269531","5.975349426269531","5.975349426269531"
"84","168","168","168","5.869915008544922","5.869915008544922","5.869915008544922"
"85","170","170","170","5.870417594909668","5.870417594909668","5.870417594909668"
"86","172","172","172","5.854806900024414","5.854806900024414","5.854806900024414"
"87","174","174","174","5.959535121917725","5.959535121917725","5.959535121917725"
"88","176","176","176","5.964725494384766","5.964725494384766","5.964725494384766"
"89","178","178","178","5.849322319030762","5.849322319030762","5.849322319030762"
"90","180","180","180","5.7823638916015625","5.7823638916015625","5.7823638916015625"
"91","182","182","182","5.9474616050720215","5.9474616050720215","5.9474616050720215"
"92","184","184","184","5.9238200187683105","5.9238200187683105","5.9238200187683105"
"93","186","186","186","5.813730716705322","5.813730716705322","5.813730716705322"
"94","188","188","188","5.964315414428711","5.964315414428711","5.964315414428711"
"95","190","190","190","5.967235088348389","5.967235088348389","5.967235088348389"
"96","192","192","192","5.950401782989502","5.950401782989502","5.950401782989502"
"97","194","194","194","5.882672309875488","5.882672309875488","5.882672309875488"
"98","196","196","196","5.894487380981445","5.894487380981445","5.894487380981445"
"99","198","198","198","5.788016319274902","5.788016319274902","5.788016319274902"
"100","200","200","200","5.815240859985352","5.815240859985352","5.815240859985352"
"101","202","202","202","5.822751522064209","5.822751522064209","5.822751522064209"
"102","204","204","204","5.82285213470459","5.82285213470459","5.82285213470459"
"103","206","206","206","5.81895637512207","5.81895637512207","5.81895637512207"
"104","208","208","208","5.950286388397217","5.950286388397217","5.950286388397217"
"105","210","210","210","6.0616374015808105","6.0616374015808105","6.0616374015808105"
"106","212","212","212","5.898966312408447","5.898966312408447","5.898966312408447"
"107","214","214","214","5.782526969909668","5.782526969909668","5.782526969909668"
"108","216","216","216","5.751767635345459","5.751767635345459","5.751767635345459"
"109","218","218","218","5.8278913497924805","5.8278913497924805","5.8278913497924805"
"110","220","220","220","5.910778522491455","5.910778522491455","5.910778522491455"
"111","222","222","222","5.863568305969238","5.863568305969238","5.863568305969238"
"112","224","224","224","5.933966159820557","5.933966159820557","5.933966159820557"
