"step","_step","_step__MIN","_step__MAX","all_time_value","all_time_value__MIN","all_time_value__MAX"
"0","0","0","0","0.7522310018539429","0.7522310018539429","0.7522310018539429"
"1","2","2","2","0.40226271748542786","0.40226271748542786","0.40226271748542786"
"2","4","4","4","0.44652366638183594","0.44652366638183594","0.44652366638183594"
"3","6","6","6","0.4242444932460785","0.4242444932460785","0.4242444932460785"
"4","8","8","8","0.40257498621940613","0.40257498621940613","0.40257498621940613"
"5","10","10","10","0.40303951501846313","0.40303951501846313","0.40303951501846313"
"6","12","12","12","0.4050009846687317","0.4050009846687317","0.4050009846687317"
"7","14","14","14","0.40425628423690796","0.40425628423690796","0.40425628423690796"
"8","16","16","16","0.40289655327796936","0.40289655327796936","0.40289655327796936"
"9","18","18","18","0.5675805807113647","0.5675805807113647","0.5675805807113647"
"10","20","20","20","0.40038132667541504","0.40038132667541504","0.40038132667541504"
"11","22","22","22","0.3991285264492035","0.3991285264492035","0.3991285264492035"
"12","24","24","24","0.39839473366737366","0.39839473366737366","0.39839473366737366"
"13","26","26","26","0.3965931832790375","0.3965931832790375","0.3965931832790375"
"14","28","28","28","0.3961211144924164","0.3961211144924164","0.3961211144924164"
"15","30","30","30","0.39690595865249634","0.39690595865249634","0.39690595865249634"
"16","32","32","32","0.3955443203449249","0.3955443203449249","0.3955443203449249"
"17","34","34","34","0.39361515641212463","0.39361515641212463","0.39361515641212463"
"18","36","36","36","0.3918526768684387","0.3918526768684387","0.3918526768684387"
"19","38","38","38","0.39112627506256104","0.39112627506256104","0.39112627506256104"
"20","40","40","40","0.3859924376010895","0.3859924376010895","0.3859924376010895"
"21","42","42","42","0.3870609402656555","0.3870609402656555","0.3870609402656555"
"22","44","44","44","0.38790979981422424","0.38790979981422424","0.38790979981422424"
"23","46","46","46","0.38901618123054504","0.38901618123054504","0.38901618123054504"
"24","48","48","48","0.38886505365371704","0.38886505365371704","0.38886505365371704"
"25","50","50","50","0.3870432376861572","0.3870432376861572","0.3870432376861572"
"26","52","52","52","0.38741979002952576","0.38741979002952576","0.38741979002952576"
"27","54","54","54","0.388467013835907","0.388467013835907","0.388467013835907"
"28","56","56","56","0.38639235496520996","0.38639235496520996","0.38639235496520996"
"29","58","58","58","0.3907054662704468","0.3907054662704468","0.3907054662704468"
"30","60","60","60","0.3884779214859009","0.3884779214859009","0.3884779214859009"
"31","62","62","62","0.3918353319168091","0.3918353319168091","0.3918353319168091"
"32","64","64","64","0.40824881196022034","0.40824881196022034","0.40824881196022034"
"33","66","66","66","0.38547682762145996","0.38547682762145996","0.38547682762145996"
